서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 당일 사망자
2022.02.12.00,374534,13198,2227,2022.02.12.00,1294205,54941,
2022.02.11.00,361336,11531,2224,2022.02.11.00,1239287,53926,
2022.02.10.00,349805,11875,2217,2022.02.10.00,1185361,54122,
2022.02.09.00,337930,11682,2212,2022.02.09.00,1131248,49567,
2022.02.08.00,326253,5910,2209,2022.02.08.00,1081681,36719,
2022.02.07.00,320343,6888,2205,2022.02.07.00,1044963,35286,
2022.02.06.00,313462,7821,2203,2022.02.06.00,1009688,38691,
2022.02.05.00,305641,8598,2199,2022.02.05.00,971018,36362,
2022.02.04.00,297043,6160,2194,2022.02.04.00,934656,27443,
2022.02.03.00,290883,5218,2191,2022.02.03.00,907214,22907,
2022.02.02.00,285665,4209,2185,2022.02.02.00,884310,20270,
2022.02.01.00,281456,4131,2182,2022.02.01.00,864042,18343,
2022.01.31.00,277325,4193,2180,2022.01.31.00,845709,17085,
2022.01.30.00,273132,4185,2179,2022.01.30.00,828637,17532,
2022.01.29.00,268947,4199,2177,2022.01.29.00,811122,17542,
2022.01.28.00,264748,3991,2169,2022.01.28.00,793582,16096,
2022.01.27.00,260757,3429,2168,2022.01.27.00,777497,14518,
2022.01.26.00,257330,3178,2164,2022.01.26.00,762983,13012,
2022.01.25.00,254160,1724,2155,2022.01.25.00,749979,8571,
2022.01.24.00,252437,1679,2148,2022.01.24.00,741413,7513,
2022.01.23.00,250758,1694,2140,2022.01.23.00,733902,7630,
2022.01.22.00,249065,1591,2135,2022.01.22.00,726274,7009,
2022.01.21.00,247475,1552,2122,2022.01.21.00,719269,6769,
2022.01.20.00,245925,1362,2117,2022.01.20.00,712503,6603,
2022.01.19.00,244565,1231,2107,2022.01.19.00,705902,5805,
2022.01.18.00,243337,763,2063,2022.01.18.00,700102,4072,
2022.01.17.00,242574,790,2051,2022.01.17.00,696032,3859,
2022.01.16.00,241784,925,2044,2022.01.16.00,692174,4194,
2022.01.15.00,240862,912,2033,2022.01.15.00,687984,4423,
2022.01.14.00,239950,939,2024,2022.01.14.00,683566,4542,
2022.01.13.00,239014,978,2009,2022.01.13.00,679030,4167,
2022.01.12.00,238039,1093,1996,2022.01.12.00,674868,4388,
2022.01.11.00,236946,755,1978,2022.01.11.00,670483,3097,
2022.01.10.00,236192,781,1965,2022.01.10.00,667390,3007,
2022.01.09.00,235415,966,1955,2022.01.09.00,664391,3376,
2022.01.08.00,234449,994,1934,2022.01.08.00,661015,3510,
2022.01.07.00,233457,1038,1913,2022.01.07.00,657508,3717,
2022.01.06.00,232419,1208,1898,2022.01.06.00,653792,4126,
2022.01.05.00,231213,1412,1888,2022.01.05.00,649669,4444,
2022.01.04.00,229801,938,1865,2022.01.04.00,645226,3024,
2022.01.03.00,228867,993,1847,2022.01.03.00,642207,3129,
2022.01.02.00,227879,1183,1839,2022.01.02.00,639083,3833,
2022.01.01.00,226698,1464,1813,2022.01.01.00,635253,4416,
2021.12.31.00,225235,1670,1786,2021.12.31.00,630838,4875,
2021.12.30.00,223567,1722,1751,2021.12.30.00,625967,5037,
2021.12.29.00,221847,1915,1729,2021.12.29.00,620938,5409,
2021.12.28.00,219934,1290,1721,2021.12.28.00,615532,3865,
2021.12.27.00,218646,1496,1698,2021.12.27.00,611670,4207,
2021.12.26.00,217150,1917,1681,2021.12.26.00,607463,5419,
2021.12.25.00,215233,2123,1663,2021.12.25.00,602045,5842,
2021.12.24.00,213114,2346,1615,2021.12.24.00,596209,6233,
2021.12.23.00,210768,2720,1598,2021.12.23.00,589978,6919,
2021.12.22.00,208048,2805,1569,2021.12.22.00,583065,7456,
2021.12.21.00,205249,1994,1537,2021.12.21.00,575615,5202,
2021.12.20.00,203255,1908,1521,2021.12.20.00,570414,5318,
2021.12.19.00,201347,2320,1503,2021.12.19.00,565098,6236,
2021.12.18.00,199028,2794,1479,2021.12.18.00,558864,7314,
2021.12.17.00,196234,2846,1461,2021.12.17.00,551551,7435,
